CaseIdentifier,Catchwords,Year,URL,WordCount,ParagraphCount,Author,LegalParties
[2024] SGHC 129,Criminal Procedure and Sentencing — Sentencing — Sentencing framework — Road Traffic Act — Sections 65(3)(a) and 65(4)(a) ,2024,https://www.elitigation.sg/gd/s/2024_SGHC_129,18680,0,Vincent Hoong J,"Lim Wen Yang, Bryan and Foo Chuan Ri (Fu Chuanri) (Hoh Law Corporation) for the appellant in HC/MA 9263/2021/01 Azri Imran Tan, Ashwin Ganapathy and Joshua Chow Shao Wei (I.R.B Law LLP) for the appellant in HC/MA 9113/2022/01 Chiam Yunxin (Christopher Chuah Law Chambers LLC) for the appellant in HC/MA 9150/2022/01 Kalidass s/o Murugaiyan, Ashvin Hariharan and Koh Boon Yang (Kalidass Law Corporation) for the appellant in HC/MA 9204/2022/01 Noor Mohamed Marican and Mohd Munir Marican (Marican & Associates) for the appellant in HC/MA 9243/2022/01 Deputy Attorney-General Tai Wei Shyong, Benedict Chan Wei Qi, Lim Woon Yee, R Arvindren, Foong Ke Hui and Sruthi Boppana (Attorney-General's Chambers) for the respondent Yong Yi Xiang (Rajah & Tann Singapore LLP) as young independent counsel."
[2024] SGHC 127,"Insolvency Law — Judicial management — Extension of time, Insolvency Law — Judicial management — Whether judicial management order should be extended, Insolvency Law — Judicial management — Whether time to put forward statement of proposals should be extended, Companies — Receiver and manager — Judicial management order — Whether judicial management order should be extended",2024,https://www.elitigation.sg/gd/s/2024_SGHC_127,2809,27,Goh Yihan J,Sim Chong and Chen Sixue (Sim Chong LLP) for the applicant Lim Wei Ming Keith (Quahe Woo & Palmer LLC) for the non-party Aik Chuan Investment Pte Ltd Leong Lijie and Kristi Hwang Li Ting for the non-parties Supreme Hospitality Pte Ltd and Lawrence Leow Chin Hin The respondent absent and unrepresented.
[2024] SGHC 126,"Professions — Medical profession and practice — Professional conduct 
 
",2024,https://www.elitigation.sg/gd/s/2024_SGHC_126,18969,0,Sundaresh Menon CJ,"Christopher Chong Fook Choy, Sim Mei Jun Andrey, Sia Tian Wa Jeremy Marc (Dentons Rodyk & Davidson LLP) and Chandra Mohan K Nair (Tan Rajah & Cheah LLP) for the appellant in OA 8 and the respondent in OA 9 Kronenburg Edmund Jerome, Colin Wu Guolin, Nicole Lee Man Ruo and Chan Yu Jie (Braddell Brothers LLP) for the respondent in OA 8 and the appellant in OA 9."
[2024] SGHC 125,Arbitration — Award — Recourse against award — Setting aside,2024,https://www.elitigation.sg/gd/s/2024_SGHC_125,13286,199,S Mohan J,"Thio Shen Yi SC (TSMP Law Corporation) (instructed), Nakul Dewan SA (instructed), Lin Weiqi Wendy, Goh Wei Wei and Foo Hsien Weng (WongPartnership LLP) for the claimant Poon Kin Mun Kelvin SC, David Isidore Tan Huang Loong, Chrystal Lee Tze En and Ku Chern Ying Vanessa (Rajah & Tann Singapore LLP) for the first and second defendants."
[2024] SGHC(A) 15,"Contract — Misrepresentation — Inducement — Whether representee was induced to enter into contract, Contract — Misrepresentation — Rescission — Whether rescission is available in respect of contract for services where services have been rendered thereunder, Contract — Mistake — Unilateral mistake as to identity of contracting counterparty — Whether doctrine of mistaken identity extends to attributes of contracting counterparty",2024,https://www.elitigation.sg/gd/s/2024_SGHCA_15,14296,156,Philip Jeyaretnam J,"Koh Choon Guan Daniel (Eldan Law LLP) (instructed), Koong Len Sheng and Joshua Ang Zhao Neng (Hong Zhaoneng) (David Lim & Partners LLP) for the appellants Koh Swee Yen SC, Chng Zi Zhao Joel (Zhuang Zizhao), Felicia Soong Wanyi, G Kiran and Toh Yong Xiang (WongPartnership LLP) for the respondent."
[2024] SGHC(A) 14,"Trusts — Resulting trusts
, Family Law — Advancement — Presumption, Land — Interest in land — Joint tenancy, Evidence — Proof of evidence — Presumptions",2024,https://www.elitigation.sg/gd/s/2024_SGHCA_14,5634,52,Belinda Ang Saw Ean JCA,Abdul Wahab bin Saul Hamid and Muhammad Hasif bin Abdul Aziz (A.W. LAW LLC) for the appellant Suang Wijaya and Johannes Hadi (Eugene Thuraisingam LLP) for the respondent.
[2024] SGHC 124,"Tort — Defamation — Damages 

, Tort — Conversion — Damages — Measure of damages to a plaintiff who is a distributor of the converted goods — Meaning of relevant market",2024,https://www.elitigation.sg/gd/s/2024_SGHC_124,8058,0,Audrey Lim J,Patrick Fernandez and Mohamed Arshad bin Mohamed Tahir (Fernandez LLC) for the plaintiff Chong Siew Nyuk Josephine (Josephine Chong LLC) for the first and second defendants.
[2024] SGCA 14,Civil Procedure — Appeals — Permission,2024,https://www.elitigation.sg/gd/s/2024_SGCA_14,3287,36,Kannan Ramesh JAD,"Christopher Anand s/o Daniel, Harjean Kaur, Yeo Yi Ling Eileen, Lim Yi Zheng and Saadhvika Jayanth (Advocatus Law LLP) for the applicants in CA/OA 37/2023 and CA/OA 38/2023 Manoj Pillay Sandrasegara, Leo Zhen Wei Lionel, Liu Zhao Xiang, Muhammed Ismail Bin k.o. Noordin, Kwong Kai Sheng and T Abirami(WongPartnership LLP) for the respondents in CA/OA 37/2023 and CA/OA 38/2023."
[2024] SGHC 119,"Contempt Of Court — Sentencing
, Contempt Of Court — Civil contempt",2024,https://www.elitigation.sg/gd/s/2024_SGHC_119,4697,68,Chua Lee Ming J,"Toby Landau KC (instructed), Poon Kin Mun Kelvin SC, David Isidore Tan Huang Loong and Jasmine Thng Khai Fang (Rajah & Tann Singapore LLP) for the plaintiff Mahesh Rai s/o Vedprakash Rai, Loo Chuan Shen Don and Soon Ser Jia, Clarissa (Drew & Napier LLC) for the defendant."
[2024] SGHC 123,Criminal Procedure and Sentencing — Charge — Joinder of similar offences   ,2024,https://www.elitigation.sg/gd/s/2024_SGHC_123,3440,34,Vincent Hoong J,Not found
[2024] SGCA 13,Criminal Law — Statutory offences — Misuse of Drugs Act,2024,https://www.elitigation.sg/gd/s/2024_SGCA_13,13208,157,Sundaresh Menon CJ,"Eugene Singarajah Thuraisingam, Johannes Hadi (Eugene Thuraisingam LLP) and Mohamed Fazal bin Abdul Hamid (I.R.B Law LLP) for the appellant April Phang and Kenny Yang (Attorney-General's Chambers) for the respondent."
[2024] SGHC 120,"Civil Procedure — Costs, Civil Procedure — Offer to settle – Basis of costs – O 22A r 9(3) Rules of Court (2014 Rev Ed)
",2024,https://www.elitigation.sg/gd/s/2024_SGHC_120,2704,30,Tan Siong Thye SJ,"Foo Maw Shen, Chu Hua Yi and Goh Jia Jie (FC Legal Asia LLC) for the plaintiffs Singh Ranjit and Teo Jun Wei Andre (Francis Khoo & Lim) for the second and fourth defendants The first and third defendants absent and unrepresented."
