CaseIdentifier,Catchwords,Year,URL,WordCount,ParagraphCount,Author,LegalParties
[2023] SGHC(A) 22,"Trusts — Resulting trusts
 
, Civil Procedure — Judgments and orders — Enforcement — Equitable
execution — Appointment of receivers",2023,https://www.elitigation.sg/gd/s/2023_SGHCA_22,9061,88,Woo Bih Li JAD,"Tham Lijing (Tham Lijing LLC) (instructed), Darren Tan, Kevin Cheng, Siew Wei Ying Silas and Yeo Hsien Yang Shane Anthony (Yang Xianyang) (Invictus Law Corporation) for the appellant in Civil Appeal No 4 of 2023 and Civil Appeal No 5 of 2023 Thio Shen Yi, SC, Koh Li Qun Kelvin (Xu Liqun), Kevin Elbert, Tan Shi Ying Crystal and Phoon Wuei (TSMP Law Corporation) for the appellant in Civil Appeal No 6 of 2023 and Civil Appeal No 7 of 2023 and Han Guangyuan Keith and Angela Phoon Yan Ling (Oon & Bazul LLP) for the respondents in Civil Appeal No 4 of 2023 to Civil Appeal No 7 of 2023."
[2023] SGHC 179,"Criminal Law — Statutory offences — Road Traffic Act, Criminal Procedure and Sentencing — Sentencing — Appeals 
",2023,https://www.elitigation.sg/gd/s/2023_SGHC_179,11460,106,Vincent Hoong J,Tan Wen Cheng Adrian (August Law Corporation) for the appellant Gregory Gan (Attorney-General's Chambers) for the respondent.
[2023] SGHC 177,"Companies — Restoration of struck-off company
 
",2023,https://www.elitigation.sg/gd/s/2023_SGHC_177,4577,40,Lee Seiu Kin J,Foo Chuan Min Jerald and Luis Inaki Duhart Gonzalez (Selvam LLC) for the applicant.
[2023] SGHCF 30,Family Law — Procedure — Costs,2023,https://www.elitigation.sg/gd/s/2023_SGHCF_30,1588,13,Choo Han Teck J,Trent Ng Yong En and Cheryl Tan Wee Tim (Kalco Law LLC) for the plaintiffTee Lee Lian and Julian Koh Zhen Yang (Bih Li & Lee LLP) for the defendant.
[2023] SGHC 175,"Building and Construction Law — Jurisdictional objection — Whether lack of performance bond a ground for setting aside adjudication determination, Building and Construction Law — Statutes and regulations — Application of the Building and Construction Industry Security of Payment Act 2004 (2020 Rev Ed) — Whether ambit of application is based on frequency and method for quantification of payment claims, Building and Construction Law — Statutes and regulations — Date of service of payment claim — Sections 10(2)(a)(ii) and 10(3)(b) of the Building and Construction Industry Security of Payment Act 2004 (2020 Rev Ed) — Regulations 5(1) and 5(3) of the Building and Construction Industry Security of Payment Regulations (2006 Rev Ed)",2023,https://www.elitigation.sg/gd/s/2023_SGHC_175,8811,60,Teh Hwee Hwee JC,Lee Wei Yung and Harpal Singh (Tito Isaac & Co LLP) for the claimant Chia Swee Chye Kelvin (Lumen Law Corporation) for the defendant.
[2023] SGHC 176,"Trusts — Express trusts, Probate and Administration — Executors
",2023,https://www.elitigation.sg/gd/s/2023_SGHC_176,9584,91,Audrey Lim J,"Walter Ferix Silvester and Tan Hoe Shuen (M/s Silvester Legal LLC) for the plaintiff Ee Hock Hoe Adrian and Chew Yun Ping, Joanne (M/s Ramdas & Wong) for the defendant."
[2023] SGHC 173,Criminal Law — Statutory offences — Misuse of Drugs Act,2023,https://www.elitigation.sg/gd/s/2023_SGHC_173,15822,110,Aedit Abdullah J,"Terence Chua Seng Leng and Chong Yong (Attorney-General's Chambers) for the Prosecution Low Cheong Yeow (M/s Matthew Chiong Partnership), Krishna Ramakrishna Sharma (Fleet Street Law LLC) and Zamiq Azmeer bin Borhanudin (M/s Abdul Rahman Law Corporation) for the accused."
[2023] SGHC 174,"Constitutional Law — Judicial review
, Administrative Law — Remedies — Declaration, Administrative Law — Remedies — Quashing order, Constitutional Law — Equal protection of the law, Administrative Law — Remedies — Prohibition order, Constitutional Law — Attorney-General — Prosecutorial discretion",2023,https://www.elitigation.sg/gd/s/2023_SGHC_174,5163,62,Kwek Mean Luck J,Lim Tean (Carson Law Chambers) for the applicant Gan Yingtian Andrea and Zhicong Lee (Attorney-General's Chambers) for the respondent.
[2023] SGHC 171,"Trusts — Constructive trusts, Contract — Collateral contracts, Tort — Breach of statutory duty, Tort — Misrepresentation — Fraud and deceit, Tort — Misrepresentation — Negligent misrepresentation",2023,https://www.elitigation.sg/gd/s/2023_SGHC_171,26920,323,Tan Siong Thye J,"Goh Kim Thong Andrew (De Souza Lim & Goh LLP) (instructed), Lim Joo Toon and Michael Lukamto (Joo Toon LLC) for the plaintiffs Oei Ai Hoea Anna (Tan Oei & Oei LLC) for the first defendant, the third defendant and the fourth defendant Sng Kheng Huat (Sng & Co) for the second defendant, the fifth defendant and the sixth defendant"
[2023] SGHCF 29,"Family Law — Maintenance, Family Law — Matrimonial Assets — Division",2023,https://www.elitigation.sg/gd/s/2023_SGHCF_29,3572,40,Chan Seng Onn SJ,Kelvin Lim (Kelvin Lim & Partners) for the appellant respondent in person.
[2023] SGCA(I) 5,"Damages — Assessment — Valuation of aircraft, Evidence — Weight of evidence — Expert opinion evidence  
",2023,https://www.elitigation.sg/gd/s/2023_SGCAI_5,5178,57,Steven Chong JCA,"Shobna Chandran, Yong Manling Jasmine, Thaddaeus Aaron Tan and Marissa Daisy Decruz (Tan Rajah & Cheah) for the appellant Tan Teck San Kelvin, Yip Ting Yuan Darren and Kenneth Kwek Junjie (Drew & Napier LLC) for the respondent."
[2023] SGHC 170,Criminal Law — Statutory Offences — Misuse of Drugs Act,2023,https://www.elitigation.sg/gd/s/2023_SGHC_170,11918,111,Philip Jeyaretnam J,"Nicholas Wuan Kin Lek, Jaime Pang, Lim Woon Yee and J Jayaletchmi (Attorney-General's Chambers) for the Prosecution Kalidass s/o Murugaiyan, Ashvin Hariharan and Prakash Otharam (Kalidass Law Corporation) for the first accused Nandwani Manoj Prakash (Gabriel Law Corporation) and Krishna Ramakrishna Sharma (Fleet Street Law LLC) for the second accused."
[2023] SGHC 172,"Civil Procedure — Striking out, Civil Procedure — Parties — Joinder 
, Charities — Charitable trusts — Legal capacity, Charities — Registration — Effect of registration, Charities — Charity proceedings — Interpretation of s 32 of the Charities Act 1994",2023,https://www.elitigation.sg/gd/s/2023_SGHC_172,5824,46,Philip Jeyaretnam J,"Giam Chin Toon SC, Hui Choon Wai and Marcus Chia Hao Jun (Wee Swee Teow LLP) for the plaintiff Tan Tee Jim SC, Yan Chongshuo and Chee Kai Hao (Lee & Lee) for the defendants Evans Ng and Darshini Ramiah (Attorney-General's Chambers) for the intervener."
[2023] SGHC 167,"Res judicata — Issue estoppel, Res judicata — Applicable principles

 
",2023,https://www.elitigation.sg/gd/s/2023_SGHC_167,5871,58,Lee Seiu Kin J,"Chan Leng Sun SC and Colin Liew (instructed), Ang Hsueh Ling Celeste, Danitza Hon Cai Xia, Yiu Kai Tai and Yap Yong Li (Wong & Leow LLC) for the plaintiff Teh Kee Wee Lawrence, Pan Xingzheng Edric, Chia Huai Yuan, Melvin See Hsien Huei, Alexander Kamsany Lee, V Santhosh, Clarence Cheang Wei Ming and Philip Teh Ahn Ren (Dentons Rodyk & Davidson LLP) for the first and second defendants The third to sixth defendants absent and unrepresented."
[2023] SGHC 169,"Criminal Law — Abetment, Criminal Law — Offences — Rape, Criminal Law — Offences — Sexual offences, Criminal Procedure and Sentencing — Sentencing, Criminal Procedure and Sentencing — Mitigation
",2023,https://www.elitigation.sg/gd/s/2023_SGHC_169,4558,56,See Kee Oon J,"Gail Wong, Ang Siok Chen and Lim Ying Min (Attorney-General's Chambers) for the Prosecution Accused in person."
[2023] SGHC 168,"Criminal Procedure and Sentencing — Sentencing — Mandatory
treatment order 
",2023,https://www.elitigation.sg/gd/s/2023_SGHC_168,7555,87,See Kee Oon J,Suang Wijaya (Eugene Thuraisingam LLP) for the appellant Thiagesh Sukumaran & Ong Xin Jie (Attorney-General's Chambers) for the respondent.
[2023] SGHCR 7,"Civil Procedure — Service — Substituted service out of jurisdiction, Civil Procedure — Foreign judgments — Registration — Setting aside
",2023,https://www.elitigation.sg/gd/s/2023_SGHCR_7,9303,104,AR Desmond Chong,"Danny Ong, Jason Teo, and Lee Jin Loong (Setia Law LLC) for the claimant Vithiya Rajendra, Daryl Wong, and Ang Guo Qiang (WongPartnership LLP) for the first defendant Second defendant absent and unrepresented."
[2023] SGHC 166,Employment Law — Pay — Whether s 38(5) of the Employment Act 1968 (2020 Rev Ed) bars a claim for overtime pay exceeding the prescribed monthly limit of overtime hours,2023,https://www.elitigation.sg/gd/s/2023_SGHC_166,7524,63,Goh Yihan JC,Chan Kah Keen Melvin and Neo Zhi Wei Eugene (TSMP Law Corporation) for the appellantChia Wei Lin Rebecca and Markus Kng Tian Sheng (JCP Law LLC) for the respondent.
[2023] SGHC 165,Criminal Law — Statutory offences — Misuse of Drugs Act,2023,https://www.elitigation.sg/gd/s/2023_SGHC_165,9693,86,Pang Khang Chau J,"Anandan Bala, Samuel Yap and Theong Li Han (Attorney-General's Chambers) for the prosecution Ramesh Chandr Tiwary (Ramesh Tiwary) and Wee Heng Yi Adrian (Characterist LLC) for the first accused Ram Goswami (Ram Goswami) and Dhanaraj James Selvaraj (James Selvaraj) for the second accused Aw Wee Chong Nicholas (Clifford Law LLP) and Wong Li-Yen Dew (Dew Chambers) for the third accused Allagarsamy s/o Palaniyappan (Allagarsamy & Co) and Krishna Ramakrishna Sharma (Fleet Street Law LLC) for the fourth accused."
[2023] SGCA(I) 4,"Civil Procedure — Inherent powers
 
, Arbitration — Confidentiality — Privacy",2023,https://www.elitigation.sg/gd/s/2023_SGCAI_4,4709,0,Sundaresh Menon CJ,"Cavinder Bull SC, Lin Shumin, Ng Shi Min Nicole and Kenneth Teo (Drew and Napier LLC) for the applicant Koh Swee Yen SC, Joel Quek, Axl Rizqy and Victoria Liu (WongPartnership LLP) for the respondent."
[2023] SGHC 164,"Civil Procedure — Summary judgment, Civil Procedure — Stay of proceedings, Civil Procedure — Admission of new evidence on appeal, Conflict of laws — Choice of law — Whether presumption of similarity applies in interlocutory proceedings that finally dispose of an action",2023,https://www.elitigation.sg/gd/s/2023_SGHC_164,8616,77,Goh Yihan JC,"Poon Guokun Nicholas and Lee Tat Weng Daniel (Breakpoint LLC) for the claimantTan Zhengxian Jordan, Damien Chng Cheng Yee (Audent Chambers LLC) (instructed), Shankar Ray Shi-Wan, Han Guangyuan Keith and Ammani Mathivanan (Oon & Bazul LLP) for the defendant."
[2023] SGHC(A) 21,"Contract — Contractual Terms — Rules of construction, Civil Procedure — Injunctions  — Enforcement of negative covenant 
",2023,https://www.elitigation.sg/gd/s/2023_SGHCA_21,3808,55,Woo Bih Li JAD,"Lim Gerui and Estad Amber Joy (Drew & Napier LLC) for the appellant. Kanapathi Pillai Nirumalan, Liew Teck Huat and Phang Cunkuang (Niru & Co LLC) for the respondent."
[2023] SGCA 18,"Criminal Law — Statutory offences — Sexual offences
, Criminal Procedure and Sentencing — Criminal Review — Permission for review",2023,https://www.elitigation.sg/gd/s/2023_SGCA_18,3432,37,Tay Yong Kwang JCA,The applicant in person Selene Yap and Ashley Poh (Attorney-General's Chambers) for the respondent.
[2023] SGHCR 6,"Evidence — Adverse inferences, Civil Procedure — Offer to Settle
, Evidence — Admissibility of evidence — Documentary evidence, Land — Interest in land — Liability of co-owner to account — Section 73A of the Conveyancing and Law of Property Act",2023,https://www.elitigation.sg/gd/s/2023_SGHCR_6,8564,72,AR Gan Kam Yuin,"Philip Ling, Lim Haan Hui and Low Ziron (Wong Tan & Molly Lim LLC) for the plaintiff Cai Enhuai Amos, Tian Keyun and Kieran Jamie Pillai (Yuen Law LLC) for the defendant"
[2023] SGHCF 27,Criminal Procedure and Sentencing — Sentencing — Young offenders,2023,https://www.elitigation.sg/gd/s/2023_SGHCF_27,1161,11,Choo Han Teck J,A Rajandran (M/S A. Rajandran) for appellantMatthew Choo and Nicholas Khoo (Attorney-General's Chambers) for the public prosecutor
[2023] SGHC 162,"Equity — Conversion, Gifts — Inter vivos, Trusts — Resulting trusts, Trusts — Constructive trusts
",2023,https://www.elitigation.sg/gd/s/2023_SGHC_162,16775,185,Audrey Lim J,"Nicholas Narayanan (Nicholas & Tan Partnership LLP) (instructed), Yeo Lai Hock Nichol and Qua Bi Qi (Nine Yards Chambers LLC) for the plaintiff Cheong Yon-Wen Jeremy, Chia Wei Lin Rebecca and Markus Kng Tian Sheng (JCP Law LLC) for the defendant."
[2023] SGHC 161,Civil Procedure — Appeals — Leave — Whether District Court as the appellate court may consider new pleadings that were not before the Registrar,2023,https://www.elitigation.sg/gd/s/2023_SGHC_161,4997,36,Goh Yihan JC,Twang Kern Zern and Low Wei Wen Justin (Central Chambers Law Corporation) for the applicantThe respondent in person.
[2023] SGHC 163,Land — Sale of land — Sale under court order ,2023,https://www.elitigation.sg/gd/s/2023_SGHC_163,1338,10,Choo Han Teck J,Lim Kim Hong (Kim & Co.) for the applicant Respondent in person.
[2023] SGHC 160,Civil Procedure — Costs — Security,2023,https://www.elitigation.sg/gd/s/2023_SGHC_160,10406,74,Goh Yihan JC,"Salem bin Mohamed Ibrahim, Yap Zhan Ming, Kimberly Ng Qi Yuet and Kong Hui Xin Annette (Salem Ibrahim LLC) for the plaintiffsMohammed Reza s/o Mohammed Riaz, Nigel Desmond Pereira, Darren Low Jun Jie and Ariane Kea Tong (JWS Asia Law Corporation) for the first defendantTong Siu Hong Joshua and Tan Yan Ru (Kalco Law LLC) for the third defendant (watching brief)."
[2023] SGHC(A) 20,"Building and Construction Law — Costs
 
, Building and Construction Law — Scope of works — Variations, Building and Construction Law — Damages — Liquidated damages",2023,https://www.elitigation.sg/gd/s/2023_SGHCA_20,6026,83,Quentin Loh SJ,Chan Kah Keen Melvin and Yong Wei Jie Timothy (TSMP Law Corporation) for the appellant in Civil Appeal No 125 of 2021 and the respondent in Civil Appeal No 129 of 2021 Kris Chew Yee Fong and Isabel Su Hongling (Zenith Law Corporation) for the respondent in Civil Appeal No 125 of 2021 and the appellant in Civil Appeal No 129 of 2021.
[2023] SGHC(I) 10,Arbitration — Award — Recourse against award — Setting aside,2023,https://www.elitigation.sg/gd/s/2023_SGHCI_10,8958,104,Unknown,"Suhaimi bin Lazim, Mohamed Hashim H Sirajudeen (Mirandah Law LLP) and Abdul Rohim bin Sarip (A. Rohim Noor Lila LLP) for the applicant Herman Jeremiah, Aw Sze Min, Lee Qiu Li and Tan Yi Xi Joie (Dentons Rodyk & Davidson LLP) for the respondent."
[2023] SGHCR 5,"Civil Procedure — Pleadings — Amendment, Civil Procedure — Pleadings — Admissions, Civil Procedure — Pleadings — Striking out",2023,https://www.elitigation.sg/gd/s/2023_SGHCR_5,4741,49,AR Wong Hee Jinn,Chacko Samuel and Anne-Marie John (Legis Point LLC) for the plaintiffNur Halimatul Syafheqah binte Rosman (Gabriel Law Corporation) for the defendants.
[2023] SGHC 159,"Arbitration - Agreement, Insolvency Law - Winding up - Standing, Insolvency Law - Winding up - Disputed debt, Insolvency Law - Winding up - Just and equitable, Insolvency Law - Winding up - Unable to pay debts",2023,https://www.elitigation.sg/gd/s/2023_SGHC_159,13513,139,Vinodh Coomaraswamy J,"Vinodh Coomaraswamy Judge of the High Court   Sarjit Singh Gill SC, Daniel Tan, Hoang Linh Trang, Jeremy Chu and Edwin Yang (Shook Lin & Bok LLP) for the claimant Tan Chuan Thye SC, Sim Kwan Kiat, Mark Cheng, Timothy Ang and Tan Tian Hui (Rajah & Tann Singapore LLP) for the defendant."
[2023] SGHC 157,"Criminal Law — Statutory offences — Misuse of Drugs Act, Criminal Procedure and Sentencing — Statements — Admissibility 
",2023,https://www.elitigation.sg/gd/s/2023_SGHC_157,11551,110,Pang Khang Chau J,"Adrian Loo, Chin Jincheng and Jotham Tay (Attorney-General's Chambers) for the Prosecution Wong Seow Pin (S P Wong & Co), Krishna Ramakrishna Sharma (Fleet Street Law LLP) and Eoon Zizhen Benedict (Covenant Chambers LLC) for the first accused Andre Jumabhoy (Peter Low & Choo LLC) and Sankar Saminathan (Sterling Law) for the second accused."
[2023] SGHC 127,"Tort - Conspiracy, Companies - Directors - Duties",2023,https://www.elitigation.sg/gd/s/2023_SGHC_127,25581,275,Vinodh Coomaraswamy J,"Vinodh Coomaraswamy Judge of the High Court   Cavinder Bull SC, Daniel Cai, Lea Woon Yee, Chua Xyn Yee and Nicholas Chng (Drew & Napier LLC) for the plaintiffs Jaikanth Shankar, John Lo, Tan Ruo Yu, Stella Ng and Waverly Seong (Davinder Singh Chambers LLC) for the defendant."
[2023] SGHC 158,"Land — Development — Collective sales, Statutory Interpretation — Statutes
, Land — Development — Housing developers, Land — Development — Strata Titles Board, Land — Strata titles — Land Titles (Strata) Act",2023,https://www.elitigation.sg/gd/s/2023_SGHC_158,12248,0,Kwek Mean Luck J,"Narayanan Sreenivasan SC, Ang Mei-Ling Valerie Freda and Kelly Wah (K&L Gates Straits Law LLC) for the claimants Lee Peng Khoon Edwin, Amanda Koh Jia Yi and Smrithi Sadasivam (Eldan Law LLP) for the defendants."
[2023] SGHC 153,Civil Procedure — Mareva injunctions — quantum of Mareva injunction,2023,https://www.elitigation.sg/gd/s/2023_SGHC_153,2718,0,Andre Maniam J,"Foo Maw Shen, Chu Hua Yi and Mark Tan (FC Legal Asia LLC) for the claimant Choo Zheng Xi and Carol Yuen (Remy Choo Chambers LLC) for the first defendant Darius Chan and Michael Chan (Breakpoint LLC) for the second defendant Ang Ann Liang and Yeoh Tze Ning (Allen & Gledhill LLP) for the third and fourth defendants."
[2023] SGCA 17,Companies - Directors - Duties,2023,https://www.elitigation.sg/gd/s/2023_SGCA_17,7877,84,Judith Prakash JCA,Ponnampalam Sivakumar and Phang Shi Ting (BR Law Corporation) for the appellant Sim Chong (instructed) (Sim Chong LLC) Lai Kwok Seng(Lai Mun Onn & Co) for the respondent.
[2023] SGHC(I) 9,"Trusts — Trustees — Duties, Trusts — Breach of trust — Extent of liability 
",2023,https://www.elitigation.sg/gd/s/2023_SGHCI_9,54804,734,Patricia Bergin IJ,"Cavinder Bull SC, Woo Shu Yan, Tan Yuan Kheng, Fiona Chew Yan Bei, Kelly Tseng Ai Lin, Gerald Paul Seah Yong Sing and Liang Fang Ling Elisabeth (Drew & Napier LLC) for the plaintiffs Lee Eng Beng SC, Disa Sim and Torsten Cheong (Rajah & Tann Singapore LLP) (instructed), Kenneth Lim Tao Chung, Mak Sushan Melissa, Afzal Ali, Wong Pei Ting, Yeow Yuet Cheong, Gan Yun Han Rebecca and Justin William Jeremiah (Allen & Gledhill LLP) for the defendant."
[2023] SGHC 156,"Tort — Detinue
, Contract — Breach, Tort — Conspiracy, Intellectual Property — Trade marks and trade names — Passing off, Intellectual Property — Trade marks and trade names — Infringement",2023,https://www.elitigation.sg/gd/s/2023_SGHC_156,25839,242,Dedar Singh Gill J,"Rakesh s/o Pokkan Vasu, Winnifred Gomez and Farhan Tyebally (Gomez & Vasu LLC) for the plaintiffs and defendants in counterclaim Anand s/o K Thiagarajan (AKT Legal Chambers) for the defendants and plaintiffs in counterclaim."
[2023] SGCA 16,Civil Procedure — Extension of time — Filing documents out of time,2023,https://www.elitigation.sg/gd/s/2023_SGCA_16,3566,40,Steven Chong JCA,"The applicants in person Hay Hung Chun, Claire Poh and Theong Li Han (Attorney-General's Chambers) for the respondent."
[2023] SGHC 155,"Criminal Law — Offences — Murder, Criminal Procedure and Sentencing — Sentencing, Criminal Procedure and Sentencing — Joint trial",2023,https://www.elitigation.sg/gd/s/2023_SGHC_155,13242,114,Pang Khang Chau J,Senthilkumaran Sabapathy and Lim Yu Hui (Attorney-General's Chambers) for the Prosecution Eugene Singarajah Thuraisingam and Suang Wijaya (Eugene Thuraisingam LLP) for the accused.
[2023] SGHC 151,"Arbitration — Stay of court proceedings

 , Credit And Security — Remedies — Judicial management, Companies — Receiver and manager — Judicial management order",2023,https://www.elitigation.sg/gd/s/2023_SGHC_151,9437,102,Hri Kumar Nair J,"Emmanuel Duncan Chua, Yiu Kai Tai, Lim Jia Ren and Irvin Ho Jia Xian (Wong & Leow LLC) for the claimant Lim Hui Li Debby and Toh Wei Qing, Geraldine (Dentons Rodyk & Davidson LLP) for the defendant."
[2023] SGHC 154,"Tort — Negligence — Breach of duty, Tort — Rule in Wilkinson v Downton, Administrative Law — Natural justice — Breach of fair hearing rule, Administrative Law — Natural justice — Breach of rule against bias, Unincorporated Associations and Trade Unions — Societies — Powers — Ultra vires 
, Unincorporated Associations and Trade Unions — Societies — Membership — Breach of contract of membership",2023,https://www.elitigation.sg/gd/s/2023_SGHC_154,17020,0,See Kee Oon J,"Paul Ong Min-Tse (Paul Ong Chambers LLC) for the plaintiff Darren Tan Tho Eng, Silas Siew Wei Ying and Joshua Tan Ming En (Invictus Law Corporation) for the defendant."
[2023] SGHC 152,"Companies — Winding up — Abuse of process — Collateral purpose, Insolvency Law — Winding up — Standing of shareholder/contributory to oppose winding up application 
",2023,https://www.elitigation.sg/gd/s/2023_SGHC_152,9945,0,Andrew Ang SJ,"Senthil Dayalan (Sim Chong LLC) for the plaintiff The defendant unrepresented Suang Wijaya, Sophia Ng and Shirin Chew (Eugene Thuraisingam LLP) for the 1st non-party The 2nd non-party in person."
[2023] SGHC 149,"Civil Procedure — Service, Admiralty and Shipping — Collision — Limitation action
",2023,https://www.elitigation.sg/gd/s/2023_SGHC_149,7844,64,S Mohan J,"Toh Kian Sing SC, Dedi Affandi Bin Ahmad, Li Kun Hang and Koh Xu Min Rebecca (Rajah & Tann Singapore LLP) for the claimant Chan Leng Sun SC (Chan Leng Sun LLC) (instructed), Chong Ik Wei, Leong Lu Yuan (Liang Luyuan), Dawn Tan Si Jie and Teo Wei Lin Elizabeth (Clasis LLC) for the first defendant Tan Wee Kong and Poh Ying Ying Joanna (JLex LLC) for the second defendant."
[2023] SGHCF 26,"Family Law – Maintenance – Child, Family Law – Maintenance – Wife – Appropriate multiplicand and multiplier to be applied on the facts, Family Law – Matrimonial assets – Division – Appropriate indirect contributions ratio to be assigned to homemaker wife, Family Law – Matrimonial assets – Pool of matrimonial assets – Homemaking efforts not leading to substantial improvement of a company's shares, Family Law – Matrimonial assets – Valuation of shares – Appropriate value of discounts to be applied for lack of marketability and for lack of control on the facts, Family Law – Matrimonial assets – Valuation of shares – Whether discounts for lack of marketability and for lack of control were warranted under the market approach on the facts",2023,https://www.elitigation.sg/gd/s/2023_SGHCF_26,23124,207,Mavis Chionh Sze Chyi J,Chong Siew Nyuk Josephine and Kym Calista Anstey (Josephine Chong LLC) for the Appellant. Johnson Loo Teck Lee and Lew Zi Qi (Drew & Napier LLC) for the Respondent.
[2023] SGHC(I) 8,"Credit and Security — Guarantees and indemnities
, Contract — Contractual terms — Rules of construction",2023,https://www.elitigation.sg/gd/s/2023_SGHCI_8,5533,53,Roger Giles IJ,"Leo Zhen Wei Lionel, Liu Zhao Xiang, Chia Shi Mei and T Abirami (WongPartnership LLP) for the plaintiff Chew Kei-Jin, Lee Chia Ming and Hannah Alysha Binte Mohamed Ashiq (Ascendant Legal LLC) for the defendant."
[2023] SGHC 146,"Criminal Law — Offences — Murder, Criminal Law — Special exceptions — Diminished responsibility",2023,https://www.elitigation.sg/gd/s/2023_SGHC_146,5573,0,Andre Maniam J,"DPPs Kumaresan Gohulabalan and Sean Teh (Attorney-General's Chambers) for the prosecution Christopher Bridges (Christopher Bridges Law Corporation), Tan Lin Yin Vickie (Coleman Street Chambers LLC) and Wong Hong Weng Stephen (Matthew Chiong Partnership) for the accused."
[2023] SGHC 150,Civil Procedure — Discovery of documents — Production of documents in aid of foreign proceedings,2023,https://www.elitigation.sg/gd/s/2023_SGHC_150,1314,12,Goh Yihan JC,"Tham Wei Chern, Wang Chunhua and Ling Yuanrong (Fullerton Law Chambers LLC) for the claimantSiraj Omar SC and Chan Yun Wen Charmaine (Drew & Napier LLC) for the respondent."
[2023] SGHC 147,Damages — Assessment ,2023,https://www.elitigation.sg/gd/s/2023_SGHC_147,7258,70,Lai Siu Chiu SJ,Ramasamy s/o Karuppan Chettiar and Mark Ho En Tian (He Entian) (Central Chambers Law Corporation) for the plaintiff Fernandez Christopher and Wu Lennon Leong Chong (Tan Kok Quan Partnership) for the defendant.
[2023] SGHC 143,Criminal Procedure and Sentencing — Police — Power to investigate — s 35 of the Criminal Procedure Code 2010,2023,https://www.elitigation.sg/gd/s/2023_SGHC_143,9086,0,Vincent Hoong J,Not found
[2023] SGHC 144,"Contract — Remedies — Damages, Commercial Transactions — Sale of goods — Breach of contract, Contract — Contractual terms — Partly written and partly oral agreements",2023,https://www.elitigation.sg/gd/s/2023_SGHC_144,18389,128,Goh Yihan JC,"Ong Lian-Yi Gregory and Chua Yuet Min Matthew (David Ong & Co) for the plaintiff Deborah Evaline Barker SC, Beitris Yong Pei Juan and Farahna Alam (Withers KhattarWong LLP) for the defendant."
[2023] SGHC 148,Companies — Schemes of arrangement — Whether a moratorium should be granted,2023,https://www.elitigation.sg/gd/s/2023_SGHC_148,4014,38,Goh Yihan JC,"Tan Ming Yew Clarence (Fervent Chambers LLC) for the applicantSim Kwan Kiat and Yeo En Fei Walter (Rajah & Tann Singapore LLP) for RHB Bank BhdTimothy Ang Wei Kiat (Rajah & Tann Singapore LLP) for Standard Chartered Bank (Singapore) LtdToh Ming Wai (Harry Elias Partnership LLP) for Hongkong and Shanghai Banking Corporation LtdKieran Martin Singh Dhaliwal (Aquinas Law Alliance LLP) for Eifel Capital Pte Ltd, FundTier Pte Ltd and Cash in Asia Pte LtdNg Wei Kit Joshua (Focus Law Asia LLC) for Hioki Singapore Pte LtdSam Soon Chin Swee (unrepresented) for Y Fong Electrical Co Ltd."
[2023] SGHC 142,Criminal Law — Statutory offences — Misuse of Drugs Act,2023,https://www.elitigation.sg/gd/s/2023_SGHC_142,23368,287,Tan Siong Thye J,"Claire Poh, Chong Yong and Benedict Chan Wei Qi (Attorney-General's Chambers) for the Prosecution Ramesh Chandr Tiwary (Ramesh Tiwary) and Si Hoe Tat Chorng (Acacia Legal LLC) for the Accused."
[2023] SGCA 15,"Criminal Law — Statutory offences — Misuse of Drugs Act, Criminal Procedure and Sentencing — Criminal review — Leave for review",2023,https://www.elitigation.sg/gd/s/2023_SGCA_15,3066,0,Tay Yong Kwang JCA,"Ong Ying Ping (Ong Ying Ping Esq) for the applicant Terence Chua, Stephanie Koh and Chong Yong (Attorney-General's Chambers) for the respondent."
[2023] SGHC 145,Criminal Procedure and Sentencing—Appeal—Procedure,2023,https://www.elitigation.sg/gd/s/2023_SGHC_145,1813,0,Vincent Hoong J,Not found
[2023] SGHC 141,"Evidence – Hearsay, Civil Procedure – Pleadings, Contract – Remedies – Damages, Contract – Remedies – Mitigation of damage, Contract – Contractual terms – Exclusion clauses, Civil Procedure – Appeals – Third party's locus standi to appeal against judgment given in favour of plaintiff against defendant, Courts and Jurisdiction – High Court – Jurisdiction – Appellate – Adjustment of damages in favour of party who did not appeal 
, Contract – Breach – Third party's liability under a breach of contract to indemnify defendant in respect of judgment sum and costs payable by defendant to plaintiff under another breach of contract",2023,https://www.elitigation.sg/gd/s/2023_SGHC_141,26503,232,Mavis Chionh Sze Chyi J,"Vijai Dharamdas Parwani and Huang Po Han (Parwani Law LLC) for the Appellant Lee Koon Foong Adam Hariz and Shannon Lim Qi (Joseph Tan Jude Benny LLP) for the 1st and 2nd Respondents Tan Li Yi Caleb, Ang Stanley and Siow Yi Dong David (JusEquity Law Corporation) for the 3rd Respondent."
[2023] SGHC(A) 19,Companies — Directors — Resignation,2023,https://www.elitigation.sg/gd/s/2023_SGHCA_19,4524,47,Woo Bih Li JAD,"Jerald Foo and Luis Inaki Duhart Gonzalez (Selvam LLC) for the appellant Koh Swee Yen SC, Ang Shunli Alanna Suegene Uy and Teo Wei Kiat Samuel (WongPartnership LLP) for the first to third respondents The fourth respondent absent and unrepresented."
